,title,authors,categories,description,average_rating,ratings_count
2753,tai-pan,James Clavell,Fiction,"Dick Straun, a pirate, smuggler, and ruthless individual, finds glory beyond his dreams as the Tai-Pan, or supreme leader, of Hong Kong. Reissue.",4.27,38015.0
2754,tinsel,William Goldman,Fiction,"In the glittering world of Hollywood peopled with stars, hopefuls, and hasbeens, hungry and cunning producers, starlets, moguls, and whores are willing to sacrifice everything for an elusive place at the top",3.18,253.0
2755,serenissima,Erica Jong,Fiction,"Jessica Pruitt, a popular Hollywood actress and aficionado of Shakespeare, is transported to the sixteenth century where she becomes the inspiration behind the great poet's most enigmatic work",3.26,271.0
2756,an acceptable time,Madeleine L'Engle,Juvenile Fiction,"A quiet visit with her grandparents turns into a lesson in the fluidity of time for Polly O'Keefe when she meets several strangers from overlapping temporal planes and, with them, plays a key role in a prehistoric confrontation.",3.82,15906.0
2757,drawing blood,Poppy Z. Brite,Fiction,"Twenty years after his tortured cartoonist father killed his mother and siblings, cartoonist Trevor McGee returns to the scene of the crime, determined to face the demons of the past and the dark force threatening to destroy him",4.03,8674.0
2758,the blue knight,Joseph Wambaugh,Los Angeles (Calif.),"Don't pass up the incredible values offered in this month's $3.99 promotion with Robert B. Parker's Spenser novel, Pale Kings and Princes, John Saul's terrifying Comes the Blind Fury, and Joseph Wambaugh's blockbuster, The Blue Knight. The Blue Knight is a Los Angeles cop whose beat is a world of pimps, pushers, winos, whores, and killers--a cop who lives each day on the razor's edge.",3.88,1262.0
2759,gai-jin,James Clavell,Fiction,"Malcolm Struan, the heir to the most powerful English trading company in the Orient, finds his fate intertwined with that of a beautiful young French woman",3.86,10305.0
2760,drop shot,Harlan Coben,Fiction,"Investigating the killing of a burned-out tennis star, sports agent Myron Bolitar uncovers a connection between the victim and a rising star from the wrong side of the tracks, while a corrupt senator and organized crime watch his every move. Reissue.",3.93,19585.0
2761,the fiery cross,Diana Gabaldon,Fiction,"The time is 1771 and the colony of North Carolina teeters on an uneasy edge. Jamie Fraser is a man of worth but he has a lot to lose. His wife, Claire, is known notoriously as a wisewoman or a witch. They both know they have to survive",4.27,120981.0
2762,purple cane road,James Lee Burke,Fiction,"Haunted by the mother he never knew, Dave Robicheaux is stunned when a chance meeting reveals that his mother was murdered by a New Orleans police officer, a discovery that has him searching for the killer.",4.15,5304.0
2763,number the stars,Lois Lowry,Juvenile Fiction,"In 1943, during the German occupation of Denmark, ten-year-old Annemarie learns how to be courageous and resourceful as she helps shelter her Jewish friend from the Nazis. Reprint. Newbery Medal Winner. AB. SLJ. K. H.",4.13,379669.0
2764,many waters,Madeleine L'Engle,Juvenile Fiction,"""Sandy and Dennys, twins and middle children in the Newbery-winning ""A Wrinkle in Time,"" are transported to the time just before the Flood. . .This will be enjoyed for its suspense and humor as well as its other levels of meaning."" --Pointer, ""Kirkus Reviews "" ""L'Engle blends speculative fiction with biblical theology to create another provocative spellbinding tale."" --""Philadelphia Inquirer""",3.99,515.0
2765,demon in my view,Amelia Atwater-Rhodes,Juvenile Fiction,Seventeen-year-old Jessica Allodola discovers that the vampire world of her fiction is real when she develops relationships with an alluring vampire named Aubrey and the teenage witch who is trying to save Jessica from his clutches.,4.04,10803.0
2766,the cricket in times square,George Selden,Juvenile Fiction,The adventures of a country cricket who unintentionally arrives in New York and is befriended by Tucker Mouse and Harry Cat.,4.02,54174.0
2767,skellig,David Almond,Juvenile Fiction,"Unhappy about his baby sister's illness and the chaos of moving into a dilapidated old house, Michael retreats to the garage and finds a mysterious stranger who is something like a bird and something like an angel.",3.79,16388.0
2768,the cay,Theodore Taylor,Juvenile Fiction,"Follows the adventures, joys, and heartaches of a privileged and prejudiced Dutch boy stranded on a remote tropical island with a kindly and wise West Indian, following an enemy attack on a boat leaving Curacao.",3.75,28138.0
2769,flags of our fathers,James Bradley,Juvenile Fiction,"Provides the true story of the actions that led to the raising of the flag at Iwo Jima by the American Marines in February 1945, complete with maps and an eight-page photo insert. Reissue.",4.17,235.0
2770,for all time,Caroline B. Cooney,Juvenile Fiction,"Annie Lockwood, a teenager in 1999, tries to travel back in time to join her lost love Strat in Egypt in 1899, but instead she ends up in ancient Egypt and in great danger. Reprint.",3.91,1584.0
2771,how angel peterson got his name,Gary Paulsen,Juvenile Nonfiction,"Author Gary Paulsen relates tales from his youth in a small town in northwestern Minnesota in the late 1940s and early 1950s, such as skiing behind a souped-up car and imitating daredevil Evel Knievel.",3.93,1139.0
2772,shattered mirror,Amelia Atwater-Rhodes,Juvenile Fiction,"As seventeen-year-old Sarah Vida, daughter of a powerful line of vampire-hunting witches, continues to pursue the ancient bloodsucker Nikolas, she finds herself in a dangerous friendship with two vampire siblings in her high school. Reprint.",4.03,9290.0
2773,the testament,John Grisham,Fiction,"A suicidal billionaire, a burnt-out Washington litigator, and a woman who has forsaken technology to work in the wilds of Brazil are all brought together by an astounding mystery of the testament",3.85,85975.0
2774,the smoke jumper,Nicholas Evans,Fiction,"A woman must choose between two men, best friends, that both love her, in a poignant story of love, loyalty, honor, and guilt set against the perilous backdrop of wilderness firefighting. By the author of The Horse Whisperer. Reprint.",4.06,28164.0
2775,gone for good,Harlan Coben,Fiction,"Investigating his girlfriend's mysterious disappearance, Will Klein learns that she is somehow tied to his brother's death and becomes increasingly disturbed when he realizes that everyone he loves is harboring dark secrets. By the author of Tell No One. Reprint.",4.11,33601.0
2776,the coalwood way,Homer H. Hickam,Biography & Autobiography,"Continuing the story of the Rocket Boys of Coalwood, West Virginia, the author recounts his senior year in high school, while the forces of change bring Coalwood to a difficult crossroads and strain threatens to tear apart the Hickam home.",4.13,1146.0
2777,midnight predator,Amelia Atwater-Rhodes,Juvenile Fiction,"Turquoise Draka, a mercenary trained to fight vampires, witches, and shape-shifters, infiltrates a vampire stronghold. But ghosts from her past and new possibilities for her future distract her from the work at hand. An ALA Quick Pick.",4.02,7939.0
2778,the subtle knife,Philip Pullman,Juvenile Fiction,"As the boundaries between worlds begin to dissolve, Lyra and her daemon help Will Parry in his search for his father and for a powerful, magical knife.",4.12,4587.0
2779,the amber spyglass,Philip Pullman,Juvenile Fiction,"Lyra and Will find themselves at the center of a battle between the forces of the Authority and those gathered by Lyra's father, Lord Asriel.",4.09,219303.0
2780,quiver,Stephanie Spinner,Juvenile Fiction,"When her father commands that she produce an heir, the huntress Atalanta gives her suitors a seemingly impossible task in order to uphold her pledge of chastity, as the gods of ancient Greece look on.",3.51,823.0
2781,his dark materials,Philip Pullman,Fiction,"Lyra Belacqua tries to prevent kidnapped children from becoming the subject of gruesome experiments, helps Will Parry search for his father, and finds that she and Will are caught in a battle between the forces of the Authority and those gathered by her uncle, Lord Asriel.",4.26,102687.0
2782,slightly wicked,Mary Balogh,Fiction,"Judith allows herself one night of reckless passion with a heroic stranger before settling into a dreary life as her aunt's companion, but she is shocked when the stranger arrives at her aunt's home, Harewood Grange, to woo her cousin.",4.0,8070.0
2783,the rule of four,Ian Caldwell;Dustin Thomason,Fiction,"Trying to decipher an ancient text that weaves a mathematical labyrinth within a love story, two researchers obtain a diary that may contain the key to the code, but when a fellow researcher is killed, they realize that the book contains a dangerous secret.",3.22,24001.0
2784,shopaholic ties the knot,Sophie Kinsella,Fiction,"Becky Bloomwood is delighted when her boyfriend proposes, but her visions of a perfect wedding day dissolve as her mother plans a backyard wedding and her high-society mother-in-law-to-be insists on a lavish affair at the Plaza Hotel.",3.77,93132.0
